Week_Start,Miles,Long Run,Type,Phase,Week_Num,Notes
12/15/25,2.3,,Historical,Historical,,
12/22/25,6.65,,Historical,Historical,,
12/29/25,11.78,,Historical,Historical,,
1/5/26,11.66,,Historical,Historical,,
1/12/26,30.09,,Historical,Historical,,"Jumped too much, had caffiene issues"
1/19/26,27.83,,Historical,Historical,,
1/26/26,21.76,,Historical,Historical,,
2/2/26,19.7,,Historical,Historical,,
2/9/26,17.8,,Historical,Historical,,
2/16/26,9.04,,Historical,Historical,,Caffiene issue. Shakey and lightheaded had to cut down on caffiene
2/23/26,6.07,,Historical,Historical,,
3/2/26,20.28,,Historical,Historical,,Rebuilding
3/9/26,24,,Historical,Historical,,
3/16/26,25.65,,Historical,Historical,,
3/23/26,25.54,,Historical,Historical,,
3/30/26,30.84,,Historical,Historical,,
4/6/26,17.26,,Historical,Historical,,
4/13/26,33,,Historical,Historical,,
4/20/26,35,,Hold,Phase 1: 10K Prep,Week 1,Consolidate current fitness — no new stress
4/27/26,30,,Build,Phase 1: 10K Prep,Week 2,Add Monday easy run 4-5mi
5/4/26,28,,Down,Phase 1: 10K Prep,Week 3,Down week — protect tendons
5/11/26,40,,Build,Phase 1: 10K Prep,Week 4,"Wed: 5x1mi @ 10K effort, 90s rest"
5/18/26,45,,Build,Phase 1: 10K Prep,Week 5,Wed: 3x2mi @ threshold
5/25/26,37,,Down,Phase 1: 10K Prep,Week 6,Down week
6/1/26,52,14,Build,Phase 1: 10K Prep,Week 7,"Long intervals, 14 mile long run"
6/8/26,56,16,Build,Phase 1: 10K Prep,Week 8,"2 mile repeats, 16 mile long runs"
6/15/26,49,18,Down,Phase 1: 10K Prep,Week 9,"Down no quality session, starting two a days with run commute. Long run is 18 miles. Adding 3 days of strength training back in the mix got off of that the previous 2 weeks"
6/22/26,40,20,Build,Phase 1: 10K Prep,Week 10,Build 20 mile long run. Hill runs again. two run commutes
6/29/26,46,16,Race,Phase 1: 10K Prep,Week 11,*** RACE WEEK: 10K July 4th (Friday) *** 
7/6/26,38,18,Down,,Week 12,Running fitness test by coros lower week volume wise
7/13/26,49.63,12,Build,,Week 13,First week doing marathon pace intervals during long runs shortening to get used to that. Unfortunately I did only 12 miles on the treadmill due to the smoke outside. Next week hopefully i'll be able to actually do my long run
7/20/26,57.62,18,Build,Phase 2: Marathon,Week 14,"Long run back outside — 18 with MP intervals. All added miles easy — no extra quality. If it feels off by Thu/Fri, 52-53 is fine."
7/27/26,45.62,14,Down,Phase 2: Marathon,Week 15,"Missed a couple of runs (air quality), made up for it by doing a 16 and 12 mile on Sat/Sun."
8/3/26,21.54,0,Build,Phase 2: Marathon,Week 16,"Down/felt sick later part of week. Only hit 21.54 miles. Back up this week. Might have been partially due to 16/12 back to back"
8/10/26,44,11,Build,Phase 2: Marathon,Week 17,
8/17/26,46,13,Build,Phase 2: Marathon,Week 18,
8/24/26,55,19,Down,Phase 2: Marathon,Week 19,"DOWN WK before the 70s push."
8/31/26,72,22,Build,Phase 2: Marathon,Week 20,"Into the 70s."
9/7/26,75,24,Hold,Phase 2: Marathon,Week 21,"Peak TRAINING long run (24) — ~1/3 of the week. This is your marathon reference distance."
9/14/26,58,17,Down,Phase 2: Marathon,Week 22,"DOWN WK. Last real workout: 16-18mi w/ 8-10 @ marathon pace (7:49). Full race-fueling rehearsal during the MP block — 200-300 cal/hr carbs. Sort caffeine separately."
9/21/26,50,12,Taper,Phase 2: Marathon,Week 23,"TAPER. Long run 12 easy. One short midweek MP or strides touch to stay sharp; everything else easy."
9/28/26,34,MARATHON 26.2,Race,Phase 2: Marathon,Week 24,"*** MARATHON Sun Oct 4 — RACED for PR, goal 3:25 (7:49/mi). *** Real taper: ~8 easy + strides Mon-Fri, shakeout w/ a few MP surges. Negative split — hold first 13-15mi just under goal pace and let it come to you."
10/5/26,38,9,Recovery,,Week 25,"DEEP recovery — I RACED the marathon, more damage than a training long run. Easy only, no quality. First few days can be off or very short. If quads are trashed / sleep wrecked, cut to ~30 — ultra is 6 months out, a soft week costs nothing."
10/12/26,56,14,Build,,Week 26,"Gentle rebuild instead of a 52->70 jump onto legs that raced 3 weeks prior. Move long runs to TRAIL now — Zumbro is 95% single-track. Easy."
10/19/26,76,18,Build,C: 80s hold + trail/B2B,Week 27,
10/26/26,81,20,Build,C: 80s hold + trail/B2B,Week 28,Into the 80s.
11/2/26,62,20,Down,C: 80s hold + trail/B2B,Week 29,DOWN WK.
11/9/26,80,Sat 18 / Sun 10,Hold,C: 80s hold + trail/B2B,Week 30,80s HOLD. Back-to-backs begin — Sunday on tired legs IS the ultra adaptation. Easy pace mandatory.
11/16/26,83,Sat 20 / Sun 12,Hold,C: 80s hold + trail/B2B,Week 31,
11/23/26,80,Sat 20 / Sun 12,Hold,C: 80s hold + trail/B2B,Week 32,"Thanksgiving — hold, don't push."
11/30/26,63,Sat 16 / Sun 10,Down,C: 80s hold + trail/B2B,Week 33,DOWN WK.
12/7/26,84,Sat 20 / Sun 12,Build,D: 90s hold,Week 34,Practice fueling on EVERY run over 90 min from here on.
12/14/26,90,Sat 22 / Sun 14,Build,D: 90s hold,Week 35,Into the 90s.
12/21/26,88,Sat 20 / Sun 14,Hold,D: 90s hold,Week 36,Holiday week — hold.
12/28/26,68,Sat 18 / Sun 12,Down,D: 90s hold,Week 37,DOWN WK. Register Zumbro 50 on Jan 1 (UltraSignup — fills fast).
1/4/27,90,Sat 22 / Sun 14,Hold,D: 90s hold,Week 38,
1/11/27,93,Sat 24 / Sun 14,Hold,D: 90s hold,Week 39,First 5-hour+ effort on trail.
1/18/27,72,Sat 20 / Sun 12,Down,D: 90s hold,Week 40,DOWN WK.
1/25/27,94,Sat 24 / Sun 16,Build,E: Reach & hold 100,Week 41,
2/1/27,100,Sat 24 / Sun 16,Build,E: Reach & hold 100,Week 42,*** FIRST 100-MILE WEEK ***
2/8/27,98,Sat 26 / Sun 16,Hold,E: Reach & hold 100,Week 43,Hold at 100 — staying healthy here is the actual work.
2/15/27,75,Sat 22 / Sun 14,Down,E: Reach & hold 100,Week 44,DOWN WK.
2/22/27,100,Sat 26 / Sun 18,Hold,E: Reach & hold 100,Week 45,
3/1/27,100,Sat 28 / Sun 18,Build,E: Reach & hold 100,Week 46,Peak B2B — longest single effort of the build.
3/8/27,100,Sat 28 / Sun 18,Hold,E: Reach & hold 100,Week 47,Last big week.
3/15/27,78,Sat 22 / Sun 14,Down,F: Zumbro 50 (Apr 2027),Week 48,DOWN WK.
3/22/27,92,Sat 24 / Sun 16,Build,F: Zumbro 50 (Apr 2027),Week 49,Last quality B2B before the race.
3/29/27,68,Sat 16 / Sun 10,Build,F: Zumbro 50 (Apr 2027),Week 50,"Light ease — not a deep taper, just enough to arrive fresh."
4/5/27,54,ZUMBRO 50,Race,F: Zumbro 50 (Apr 2027),Week 51,*** ZUMBRO 50 MILE *** The race IS the week's long effort. Loop 1 learn / loop 2 execute / loop 3 survive. Shakeouts only midweek.
4/12/27,22,10 easy,Recovery,G: Recover & sustain,Week 52,50-mile recovery — minimum 3 weeks easy. No heroics.
4/19/27,35,12 easy,Recovery,G: Recover & sustain,Week 53,Easy only.
4/26/27,50,14,Build,G: Recover & sustain,Week 54,"Rebuild — regaining fitness, not new territory, so jumps can be a touch larger."
5/3/27,60,16,Build,G: Recover & sustain,Week 55,
5/10/27,68,Sat 18 / Sun 12,Build,G: Recover & sustain,Week 56,B2B resumes.
5/17/27,54,Sat 16 / Sun 10,Down,G: Recover & sustain,Week 57,DOWN WK.
5/24/27,80,Sat 20 / Sun 14,Build,G: Recover & sustain,Week 58,
5/31/27,90,Sat 22 / Sun 16,Build,G: Recover & sustain,Week 59,"Near home base. From here: hold ~90–100, with Zumbro 50 (Apr 2028) & 100 (Apr 2029) as checkpoints — same controlled approach, B2Bs grow for the 100."
6/7/27,,,,,,
6/14/27,,,,,,
6/21/27,,,,,,
6/28/27,,,,,,
